course_code,n_valid,MAE,RMSE,R2
CHE 101,46,1.6123358551070914,2.0869996234122903,0.4613091658464272
CHE 101_lab,5,1.1589635474116362,1.3011394311122684,-0.48505598175013787
CMU-CS 246,17,0.9929240378322294,1.2895714560960017,0.7957026532981724
CMU-CS 252,4,1.0037273468990255,1.1313215549036615,-1.0416964476006196
CMU-CS 297,15,0.5036359943121985,0.659949740289345,0.9196919676176046
CMU-CS 303,7,1.4249989332418445,1.608260048093098,0.7562814531511706
CMU-CS 311,15,1.415837849092476,1.7677850924527416,0.390027733966824
CMU-CS 316,7,2.5230656555074584,2.8676992192302615,-0.2012915626839935
CMU-CS 445,9,1.334498709126093,1.550173321866165,0.5852241230099897
CMU-CS 447,10,1.075531708386518,1.3108338584296035,0.30504129245482636
CMU-CS 462,8,2.271945932491569,2.8248018533235277,-0.11650273868509475
CMU-ENG 130,14,1.5321554943774367,1.7674873848840287,0.6673911497936142
CMU-ENG 230,6,1.1303053571031811,1.5426491754713025,0.37901135670511443
CMU-IS 401,12,1.2320458218143615,1.4221213379450046,0.5039942257059652
CMU-IS 432,12,1.3286418502215591,1.847249310988751,0.1528592468785398
CMU-SE 100,21,1.8095175181248133,2.2113532179193873,0.25074294981222023
CMU-SE 214,8,1.493785258001784,1.657706091652622,0.06749031217740453
CMU-SE 252,8,0.8910559653532193,1.328960625379791,0.7261538763353278
CMU-SE 303,6,1.1630820828654425,1.269707049102948,0.6609358201816804
COM 141,22,0.6054992437955936,0.7341712405329668,0.8615501930987024
COM 142,25,0.7774241514514222,1.0059042242641947,0.8978101207489142
CS 201,22,1.3389962969964686,1.7831773826906698,0.4231365167383695
CS 211,18,1.34422831214503,1.604836786679272,0.6774750470576001
CS 466,11,1.688616511827754,1.9917077965785477,0.21276177002367547
DTE-IS 102,24,0.5988048963894533,0.7880999505124043,0.22091793895764644
DTE-IS 152,15,0.5365469647621014,0.7171355464407161,-0.46287943353964
ES 221,10,1.6737255806997138,1.8243372259533701,-0.3809984705391025
EVR 205,28,1.82518345799096,2.2310439920666525,0.40759557353177645
HIS 221,25,1.0707374254113997,1.427446649865139,0.6915966083243315
HIS 362,38,1.2128673920884083,1.5149447620138377,0.29714873047199397
IS-ENG 136,14,1.467444655512212,1.7249934783592151,0.35039196917483006
IS-ENG 137,15,0.6929782129823414,0.875570008517259,0.5012429477262451
IS-ENG 186,20,0.959510091853029,1.2624697918082348,0.4669242108020142
IS-ENG 187,5,1.1493399173685426,1.3242384608812359,0.280600795340866
IS-ENG 236,9,1.1905621987440773,1.3914309962265865,0.21352809629855052
LAW 201,34,0.9138921785284279,1.0873563398268096,0.6608126255498414
MTH 103,22,1.2778155533968347,1.634126367793406,0.5210632960853212
MTH 103_lab,20,1.0465507687720945,1.363414834001197,0.721738217835083
MTH 104,13,1.387817236715448,1.8159270114253223,0.19777039222480375
MTH 203,14,1.523465234216594,1.9378790414931808,0.3606206261519531
MTH 204,17,2.1682301995927418,2.5534371036470915,0.1310620884392918
MTH 254,9,1.5274893069833249,1.7764637811564556,0.5928553312522045
MTH 254_lab,9,2.0686584593161084,2.462808933990764,0.4648151901166421
MTH 291,16,1.5091164553901764,1.8303813505001232,0.6981789766601274
MTH 341,14,2.1926195007001392,2.452933325263483,0.26491669240246263
PHI 100,47,2.2522374643364302,2.6626611476555233,-0.09796224410334942
PHI 150,39,1.0320272665986303,1.4269122695062197,0.7295739734031124
PHY 101,23,0.9407418495191974,1.31111246012222,0.4098747520030279
PHY 101_lab,4,2.2063683543665418,2.730436440574253,0.28602064705660657
POS 151,40,1.3104334193023004,1.5913481862479517,0.3111945179086336
POS 351,39,1.8563923141574536,2.381760606353798,0.0681694262473892
POS 361,40,0.9984323255544755,1.265499135146687,0.4119945160481394
STA 151,45,1.3963580218746314,1.9439429500756498,0.5201308086765388
STA 151_lab,21,0.5289008514807164,0.6726658800737259,0.9631977245979422
