course_code,n_valid,MAE,RMSE,R2
CHE 101,45,1.4026899428108524,1.8041789828198773,0.6271957275183924
CMU-CS 246,23,1.2028485890829848,1.6689295681237113,0.700514765975697
CMU-CS 252,6,1.3136025821295052,1.7656167110414236,0.20721612509808973
CMU-CS 297,13,0.5958244838285964,0.8975868198016707,0.9217381163236289
CMU-CS 303,5,1.1951537318152559,1.4309169483618958,0.8441098707889725
CMU-CS 311,18,1.4930368895132646,2.1058362366862764,-0.033121444752101326
CMU-CS 316,9,2.1026237737854934,2.3693308267161273,0.22843856877080537
CMU-CS 445,11,1.415479285710443,1.6414477858218417,-0.06911671431465405
CMU-CS 447,10,1.0307097562787386,1.3816978945599292,0.7344799621931375
CMU-CS 462,10,1.6700011857782542,1.9194809079635777,0.5688785579344169
CMU-ENG 130,18,1.27081696467045,1.7119629721907934,0.43251792612254814
CMU-ENG 230,7,1.3453473291633056,2.3534930180703015,0.34502741464554965
CMU-IS 401,13,1.1840583712353132,1.509043095908186,0.6396413067557964
CMU-IS 432,10,1.314318105908607,1.6700188227579345,0.37123210650964966
CMU-SE 100,10,1.79868258414988,2.373685205975615,0.09966579999240999
CMU-SE 214,6,1.2326888255863275,1.4336166472409877,-0.05941066559097452
CMU-SE 252,11,1.0726933316445892,1.391433982977382,0.6189422037036004
CMU-SE 303,12,1.1892697941914774,1.3880067377579828,0.7328547209528693
COM 141,20,0.8378907615458168,1.1623676276417334,0.8591501670017934
COM 142,22,0.962342585988429,1.60877056463078,0.7895893141683069
CS 201,15,2.1822071260291045,2.7696556817313507,0.22216313467105053
CS 211,23,1.1074511346777927,1.3589546438406301,0.8186892724436691
CS 466,12,1.6091349324446302,1.9524024563089377,-0.15462778839244606
DTE-IS 102,27,0.5778927124302006,0.7387517356065965,0.3205335955148719
DTE-IS 152,10,0.33674725801192373,0.4892218219699231,-0.4045656754200191
ES 221,12,1.4781232912080584,1.7552128393431743,0.03348325917015593
EVR 205,22,2.079067023106049,2.34757478100679,0.5136430678705357
HIS 221,24,1.0930117846919432,1.3358539392924738,0.6089647301441927
HIS 362,36,1.5617116158288318,1.8715971023890063,0.2706879360805443
IS-ENG 136,11,1.3066286567146053,1.5222735015584272,0.34655019753162086
IS-ENG 137,16,1.047736883501532,1.2311837025700594,0.009247051790091776
IS-ENG 186,19,1.2086073646430138,1.5721752821681267,0.22841100485315735
IS-ENG 187,4,1.5378824020171535,2.056290771779351,-2.7585171005377043
IS-ENG 236,6,1.002703764042858,1.2647566051504793,0.19718480789371884
LAW 201,41,1.1160710304446373,1.4663248343526705,0.7143109296569194
MTH 103,20,1.6260588403785703,1.8714978502248427,-0.031703436325699164
MTH 104,17,1.437866651662585,1.7862629820445792,0.36361453246681374
MTH 203,10,1.3704031073129834,1.7557955410964137,0.05899759404961735
MTH 204,10,1.8396212640596297,2.2270535337553383,0.05347949576104194
MTH 254,8,1.3720847985279758,1.6009413149598735,0.16360984084994568
MTH 291,16,1.0847755350936539,1.2909046649822489,0.8214344757636116
MTH 341,13,1.5144768397598112,1.9359932139804148,0.10477728609062353
PHI 100,105,0.5007909506245954,0.6107918151642932,0.9498998532679559
PHI 150,34,1.458923528981574,1.9668272488937297,0.05958081729444509
PHY 101,20,0.8373035723536629,1.135339257573306,0.4358574408722118
POS 151,38,1.4613466439373217,1.6667005408757833,0.5772123258132726
POS 351,38,1.9209375366216876,2.4438339741886494,0.09851140356624744
POS 361,39,1.0338384738327253,1.3141786101034512,0.015786248525859414
STA 151,41,1.4804137043832184,1.8289265581989813,0.538483252029377
