course_code,n_valid,MAE,RMSE,R2
CHE 101,45,1.3768377785031813,1.8083941351512933,0.6254517071115077
CMU-CS 246,23,1.2702485967732096,1.7557975999884914,0.668526893389234
CMU-CS 252,6,1.4530721685197203,1.8575992105953003,0.12246189757449721
CMU-CS 297,13,0.6426347822340912,0.967450257128065,0.9090809996764497
CMU-CS 303,5,1.149892317551454,1.440496111605579,0.8420156956122249
CMU-CS 311,18,1.538153149641724,2.0751374773471,-0.0032194302017765075
CMU-CS 316,9,1.8491164721474196,2.0803661511155203,0.4051620641068254
CMU-CS 445,11,1.4080465092405647,1.6379022740781473,-0.06450313829302234
CMU-CS 447,10,1.127738533131312,1.5657933809420275,0.6590112779135098
CMU-CS 462,10,1.73824353390449,2.0588427977223516,0.5040037367064275
CMU-ENG 130,18,1.2811606365778456,1.7418990762761077,0.41249794422748376
CMU-ENG 230,7,1.488760430682097,2.4284441755504935,0.302645604096504
CMU-IS 401,13,1.2312659726622204,1.543721083062722,0.6228888364663414
CMU-IS 432,10,1.3704680270763407,1.71280997395687,0.3385972569920338
CMU-SE 100,10,1.8383960213164436,2.433693765610342,0.05356812055246041
CMU-SE 214,6,1.1692418227702193,1.3399899439783003,0.07444688146238732
CMU-SE 252,11,1.0465993913705822,1.3965857502597983,0.6161152563562973
CMU-SE 303,12,1.2078103318003914,1.4260311561269141,0.7180173526815813
COM 141,20,0.7775916009255275,1.0371430000611572,0.8878636011482065
COM 142,22,1.1881005356792365,1.8399858840735575,0.7247618998292514
CS 201,15,2.2647524775542656,2.9442640810690315,0.1209967505694226
CS 211,23,1.0839441631880113,1.3421288960050404,0.8231512354863584
CS 466,12,1.4408885081226732,1.9465835633080872,-0.1477555951357472
DTE-IS 102,27,0.5995900030479488,0.7383179203578113,0.3213313637682119
DTE-IS 152,10,0.49852491568094404,0.8969923340336365,-3.72180309457225
ES 221,12,1.4715187867314719,1.734707922916346,0.05593362264196278
EVR 205,22,2.136823111457382,2.4418481838359316,0.4737967114716335
HIS 221,24,1.1054824628851776,1.30754214523714,0.6253641170717898
HIS 362,36,1.575069919063756,1.878981140310188,0.26492185403704593
IS-ENG 136,11,1.3051929041685562,1.4927706102355576,0.3716335225617625
IS-ENG 137,16,1.0149449850916756,1.2180801592715966,0.030224080860810854
IS-ENG 186,19,1.1955079278590754,1.5617719956441043,0.23858862745795828
IS-ENG 187,4,1.5030318303440275,1.953594972496817,-2.3924740591687454
IS-ENG 236,6,1.0875141448205317,1.3394609129130415,0.0995455271157647
LAW 201,41,1.1170893516837044,1.4756450025153869,0.7106676273414898
MTH 103,20,1.6053274429116577,1.8578525552713288,-0.016713757392600614
MTH 104,17,1.4496688428347753,1.792963147234232,0.3588314914552908
MTH 203,10,1.3455244357149012,1.631173701978875,0.18783686516667142
MTH 204,10,1.802354320831046,2.1290894141177508,0.13491951654422363
MTH 254,8,1.221252795918157,1.4361795360573153,0.3269062501195824
MTH 291,16,1.0686563062698813,1.2420971260294558,0.8346819071585705
MTH 341,13,1.514160327781831,1.9711808051167585,0.07193935986790223
PHI 100,105,0.512718370308198,0.6196385718023381,0.9484380339088987
PHI 150,34,1.5014710478106408,1.9879681459767866,0.03925554005559151
PHY 101,20,0.8158946148745574,1.1583611214943026,0.4127466545042777
POS 151,38,1.503963106380438,1.750850502570174,0.5334423711050822
POS 351,38,1.937306084686396,2.4641603381267587,0.08345294254041802
POS 361,39,0.9805318350413035,1.16481019111819,0.22680156972379872
STA 151,41,1.5194869945640161,1.8596369462199362,0.5228540249365226
